tourney,Division,Round,Team1,Team2,T1P1,T1P2,T2P1,T2P2,t1score,t2score
2021seattle,Advanced,Pool,COD Kings,2-Hit Wonders,Bryce Jacobsen,Arthur Troncoso,Joshua Coder,Todd Copper,18,21
2021seattle,Advanced,Pool,The Back packs,The Cascades,Brian Perlson,Ryan Brown,Josh Wozniak,Rick Thomas,21,16
2021seattle,Advanced,Pool,Dirty Dangles,spiKE The Right Thing,Jonathan Andrews,James Renfroe,Erik Bishop,Kevin H,21,14
2021seattle,Advanced,Pool,Hide on Bush,Spike Like Mike,Andrew Nakahara,Jaren Tilley,Ari Eisips,Andy Ha,17,21
2021seattle,Advanced,Pool,The Future Dilfs,Shoreline Mafia,Davis Wolfley,Tyler Klepec,Brad Officer,Alexander Liu,14,21
2021seattle,Advanced,Pool,Brennan and the Jets,Hueligans,Nathan Evensen,Ryan Brennan,Alexis Adams,Jason Small,19,21
2021seattle,Advanced,Pool,Peanut Betty and Gellieman,The Back packs,Garrett Peterson,Jordan Moore-Bettencourt,Brian Perlson,Ryan Brown,21,13
2021seattle,Advanced,Pool,Spikaholics,COD Kings,Tyler Harms-Synkiew,Josie Machalek,Bryce Jacobsen,Arthur Troncoso,16,21
2021seattle,Advanced,Pool,2-Hit Wonders,The Cascades,Joshua Coder,Todd Copper,Josh Wozniak,Rick Thomas,10,21
2021seattle,Advanced,Pool,Western Alert,Smash Bros,Lester Lui-Delange,Paul Goins,Derek Johnson,Austin Denny,21,10
2021seattle,Advanced,Pool,Western Alert,Smash Bros,Lester Lui-Delange,Paul Goins,Timothy Bradshaw,Joshua Bradshaw,21,10
2021seattle,Advanced,Pool,Dirty Dangles,Brennan and the Jets,Jonathan Andrews,James Renfroe,Nathan Evensen,Ryan Brennan,18,21
2021seattle,Advanced,Pool,Boom Ball,Hide on Bush,Jordan Freitas,Riley Inn,Andrew Nakahara,Jaren Tilley,21,11
2021seattle,Advanced,Pool,Spike Like Mike,Shoreline Mafia,Ari Eisips,Andy Ha,Brad Officer,Alexander Liu,21,12
2021seattle,Advanced,Pool,The Future Dilfs,spiKE The Right Thing,Davis Wolfley,Tyler Klepec,Erik Bishop,Kevin H,10,21
2021seattle,Advanced,Pool,Peanut Betty and Gellieman,Western Alert,Garrett Peterson,Jordan Moore-Bettencourt,Lester Lui-Delange,Paul Goins,21,15
2021seattle,Advanced,Pool,Spikaholics,The Cascades,Tyler Harms-Synkiew,Josie Machalek,Josh Wozniak,Rick Thomas,11,21
2021seattle,Advanced,Pool,COD Kings,Smash Bros,Bryce Jacobsen,Arthur Troncoso,Derek Johnson,Austin Denny,16,21
2021seattle,Advanced,Pool,COD Kings,Smash Bros,Bryce Jacobsen,Arthur Troncoso,Timothy Bradshaw,Joshua Bradshaw,16,21
2021seattle,Advanced,Pool,2-Hit Wonders,The Back packs,Joshua Coder,Todd Copper,Brian Perlson,Ryan Brown,17,21
2021seattle,Advanced,Pool,Dirty Dangles,The Future Dilfs,Jonathan Andrews,James Renfroe,Davis Wolfley,Tyler Klepec,21,6
2021seattle,Advanced,Pool,Boom Ball,Shoreline Mafia,Jordan Freitas,Riley Inn,Brad Officer,Alexander Liu,21,8
2021seattle,Advanced,Pool,Hide on Bush,Hueligans,Andrew Nakahara,Jaren Tilley,Alexis Adams,Jason Small,25,24
2021seattle,Advanced,Pool,Spike Like Mike,spiKE The Right Thing,Ari Eisips,Andy Ha,Erik Bishop,Kevin H,21,19
2021seattle,Advanced,Pool,Peanut Betty and Gellieman,2-Hit Wonders,Garrett Peterson,Jordan Moore-Bettencourt,Joshua Coder,Todd Copper,21,12
2021seattle,Advanced,Pool,Spikaholics,The Back packs,Tyler Harms-Synkiew,Josie Machalek,Brian Perlson,Ryan Brown,8,21
2021seattle,Advanced,Pool,COD Kings,Western Alert,Bryce Jacobsen,Arthur Troncoso,Lester Lui-Delange,Paul Goins,12,21
2021seattle,Advanced,Pool,Smash Bros,The Cascades,Derek Johnson,Austin Denny,Josh Wozniak,Rick Thomas,17,21
2021seattle,Advanced,Pool,Smash Bros,The Cascades,Timothy Bradshaw,Joshua Bradshaw,Josh Wozniak,Rick Thomas,17,21
